code;designation;caracteristique;categorie;unite;prix
ZD00040;YAMAHA-PEAU SCELLE /YAMAHA???-??;100?/?;??;?;750
ZD00045;PO SCELLE/???-????????;100?/?;??;?;982
ZD00050;CG125-PEAU SCELLE /CG125???;100?/?;??;?;800
ZD00058;POWERKA-SCELLE /POWEK???????;6?/?;??;?;6500
ZD00059;CG125-SCELLE COMPLET/CG125????-????;6?/?;??;?;
ZD00067;AP150-20-SCELLE COMPLET/AP150-20????-LX?;10?/?;??;?;5000
ZD00069;X-1-PEAU SCELLE/???-??????;200?/?;??;?;800
ZD00070;CG125-PO SCELLE /CG125???-HUIDA;100?/?;??;?;750
ZD00071;X-1-SCELLE COMPLET(CCDO)/X-1????-??;6?/?;??;?;6500
ZD00073;PO SCELLE/ ???-???;200?/?;??;?;950
ZD00074;GN125-SCELLE COMPLET/GN125????;8?/?;??;?;6500
ZD0100;cadeau publicitaire/????;;????????;?;
ZXS0005;YX-RY150ZK-INSTALLATION YX-RY150ZK???;25?/?;???;?;4500
